"Frame-Sf","MASTER CAUTN","WARNMAS","AIRCRAFT REGISTRATION","DEPARTURE AIRPORT- ICAO","ARRIVAL AIRPORT- ICAO","FLIGHT NUMBER","STATIC AIR TEMP.","FLIGHT PHASE","T471","T474","T472","T475","T481","T482","FLAP CONFIGURATION","ECS ISOLATION VALVE","OAT","ECS_1","ECS_2","ENGINE 1 BLEED VLALE","ENGINE 2 BLEED VALVE","APU BLEED SWITCH","N11","N12","N21","N22"
"","aWARNMAS","aWARNMAS","_AC_REG","_ORIGIN","_DESTINATION","_FLIGHT_NUM","_SAT","_FLIGHT_PHASE","T471","T474","T472","T475","T481","T482","_FLAPS","ISOV","OAT","ECS_1","ECS_2","BLD_1","BLD_2","APU_BLEED","_N1_1","_N1_2","_N2_1","_N2_2"
"","","","","","","","DEG C","","","","","","","","","","","","","","","","%RPM","%RPM","%RPM","%RPM"
13-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,7.62500000000000000,22.37500000000000000,36.00000000000000000,58.75000000000000000
14-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.14025115966796900,17.31510162353515600,17.08924102783203100,17.08924102783203100,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,8.37500000000000000,22.50000000000000000,37.25000000000000000,58.75000000000000000
14-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,9.25000000000000000,22.50000000000000000,38.62500000000000000,58.75000000000000000
14-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,10.00000000000000000,22.62500000000000000,40.00000000000000000,58.75000000000000000
14-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,10.75000000000000000,22.37500000000000000,41.37500000000000000,58.75000000000000000
15-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.14025115966796900,17.13877105712890600,17.01435661315918000,17.16415214538574200,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,11.37500000000000000,22.37500000000000000,42.75000000000000000,58.75000000000000000
15-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,12.12500000000000000,22.50000000000000000,44.25000000000000000,58.75000000000000000
15-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,13.00000000000000000,22.25000000000000000,45.75000000000000000,58.75000000000000000
15-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,13.75000000000000000,22.25000000000000000,47.25000000000000000,58.75000000000000000
16-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,16.49186515808105500,16.78640747070312500,17.01435661315918000,17.08924102783203100,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,14.62500000000000000,22.25000000000000000,48.87500000000000000,58.75000000000000000
16-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,15.62500000000000000,22.50000000000000000,50.50000000000000000,58.75000000000000000
16-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,16.37500000000000000,22.50000000000000000,52.00000000000000000,58.75000000000000000
16-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,17.25000000000000000,22.50000000000000000,53.62500000000000000,58.75000000000000000
17-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,17.37265777587890600,16.96253776550293000,17.08924102783203100,16.93949508666992200,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,18.12500000000000000,22.50000000000000000,55.12500000000000000,58.75000000000000000
17-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,18.87500000000000000,22.37500000000000000,56.62500000000000000,58.75000000000000000
17-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,19.75000000000000000,22.12500000000000000,57.75000000000000000,58.75000000000000000
17-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,20.62500000000000000,22.00000000000000000,59.00000000000000000,58.75000000000000000
18-1,0,0,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,16.49186515808105500,16.96253776550293000,17.08924102783203100,16.93949508666992200,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,0,21.87500000000000000,22.25000000000000000,58.75000000000000000,58.75000000000000000
18-2,0,0,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,1,1,1,0,22.00000000000000000,22.25000000000000000,58.75000000000000000,58.62500000000000000
18-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,1,1,1,1,0,22.00000000000000000,22.25000000000000000,58.62500000000000000,58.62500000000000000
18-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,1,1,1,1,0,21.87500000000000000,22.25000000000000000,58.62500000000000000,58.62500000000000000
19-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,16.84387969970703100,16.43444633483886700,16.86466026306152300,16.34146690368652300,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,1,1,1,1,0,21.75000000000000000,22.00000000000000000,58.62500000000000000,58.62500000000000000
19-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,1,1,1,1,0,21.62500000000000000,22.12500000000000000,58.62500000000000000,58.62500000000000000
19-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.62500000000000000,22.00000000000000000,58.62500000000000000,58.62500000000000000
19-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,21.75000000000000000,58.75000000000000000,58.62500000000000000
20-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,11.95226669311523400,12.06888866424560500,14.62955379486084000,11.88922595977783200,0.00000000000000000,0.00000000000000000,0.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.75000000000000000,21.62500000000000000,58.62500000000000000,58.62500000000000000
20-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,21.75000000000000000,58.62500000000000000,58.62500000000000000
20-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,22.00000000000000000,58.75000000000000000,58.62500000000000000
20-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.00000000000000000,58.75000000000000000,58.62500000000000000
21-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,5.77842283248901370,4.87555599212646480,10.18424606323242200,10.33282375335693400,0.00000000000000000,0.00000000000000000,0.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.87500000000000000,22.12500000000000000,58.75000000000000000,58.75000000000000000
21-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,0.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,22.12500000000000000,58.75000000000000000,58.75000000000000000
21-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,22.25000000000000000,58.75000000000000000,58.75000000000000000
21-4,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,21.75000000000000000,21.87500000000000000,58.75000000000000000,58.75000000000000000
22-1,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,1.56628930568695070,1.00998985767364500,9.36533164978027340,12.33325576782226600,0.00000000000000000,0.00000000000000000,1.00000000000000000,0,-9.00000000000000000,1,1,1,1,0,21.87500000000000000,21.87500000000000000,58.75000000000000000,58.75000000000000000
22-2,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,21.87500000000000000,22.00000000000000000,58.75000000000000000,58.75000000000000000
22-3,1,1,B-1513,ZBAA,ZHHH,CES2460,-9.00000000000000000,0,,,,,,,1.00000000000000000,0,,1,1,1,1,0,22.00000000000000000,22.12500000000000000,58.75000000000000000,58.75000000000000000
